id	filename	md5	size	state
f7f1d2b8-417b-4ce2-a12d-a45159c38f11	TCGA-LUSC.8e035cc0-e24d-462e-86ea-b03a5b1eca24.ascat3.allelic_specific.seg.txt	c4161fc6f585b2617a1deabd35b54359	4442	released
cfaf4deb-0bba-4f32-81b7-03ff0b03c790	TCGA-LUSC.8e035cc0-e24d-462e-86ea-b03a5b1eca24.ascat2.allelic_specific.seg.txt	9704a57949f53e2ac421d4be6616ba5a	9323	released
3be84b36-562b-4914-b39a-9c7f3f163a9e	edee6705-ecd0-4169-9283-fef756440ad5.wxs.varscan2.raw_somatic_mutation.vcf.gz	88d73816bab6cc8158d489d0ef080708	63320	released
587a4403-8d9a-493e-b103-7a25939338a0	TCGA-85-A4QQ-01A-41H-A263-13_mirna_gdc_realn.bam	6943c9f2d3d6f0c2407194185ff11d16	168859804	released
a2b81f73-9498-47d6-bee4-8a54d6fa50c9	9143822c-0546-47e6-beca-71d09c73a696.wxs.pindel.raw_somatic_mutation.vcf.gz	6bacf6c01e8bad018c2f88cf8c5f52b1	24960	released
fb12ed5a-c76c-48d0-a9b5-ee6e711b4bc5	edee6705-ecd0-4169-9283-fef756440ad5.wxs.mutect2.raw_somatic_mutation.vcf.gz	e972d0d14b9f20e1ea0b46e3b208f0ea	293169	released
9234ff54-426d-4169-977d-f1a7e54c392a	TCGA-LUSC.10a437c0-9f8f-418f-8eec-595a7c9b2fb8.arriba.rna_fusion.bedpe	b9a5d6aa53e7b304234fdcb1d6abd3bc	3934	released
f83d269d-7424-4cfb-af6c-34ae5cf18452	TCGA-LUSC.c3362c2f-aeca-48bb-9e5c-7ee20df39cef.star_fusion.rna_fusion.bedpe	cf69efb58f94b08e1a67380b80abe5a5	784	released
348ada5f-c9df-4dcc-a135-656cf0e03e6e	TCGA-LUSC.8e035cc0-e24d-462e-86ea-b03a5b1eca24.gene_level_copy_number.v36.tsv	94b117d7aa79dd43d6868fba1f060858	3447001	released
9e3fc6c6-4858-4a3e-a08f-38d50a0b553e	6d448460-ff72-44c3-8221-b6103c9b1aea.wxs.VarScan2.aliquot.maf.gz	59c31daf33d96e4393c3fb7e5cdb080f	392398	released
d36eedc9-12ec-41c1-9ead-5f7ef78564bd	TCGA_LUSC.8f181fe3-559a-42fe-9ae6-370645fb0463.wxs.MuTect2.somatic_annotation.vcf.gz	e87625c0544b34f19c9fe14d9ebf167b	2324075	released
e0529e6e-8bca-4793-8f4d-33d5e0459cee	DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_G02_1322478.CEL	760469b67707bb5fb27252aeac6b4aed	69104261	released
74bc70c7-e15d-4d7c-b5f1-848ce2005dd6	TCGA-LUSC.8e035cc0-e24d-462e-86ea-b03a5b1eca24.absolute_liftover.gene_level_copy_number.v36.tsv	f4381708aa3c11b4814a139c8c532ac1	3436343	released
dc26999e-3898-486f-a032-554d65f3f42f	f65e2df5-63a9-47b5-9b2e-cc3800bfae26.wxs.aliquot_ensemble_masked.maf.gz	3d8eaaae12e6d2e6ce47b4e705f11bd8	110958	released
39cec0a1-00ba-48b7-bae1-ac9abaa3c365	TCGA-LUSC.8e035cc0-e24d-462e-86ea-b03a5b1eca24.ascat3.gene_level_copy_number.v36.tsv	e0f36eb4e4ad6d25e232c8a6dd508c31	3445585	released
d4d2565d-19dd-43c3-a53b-f25919d398a2	TCGA-85-A4QQ-01A-41D-A92V-36.WholeGenome.RP-1657.bam	996acd1cb3ffcec116502a7316a19f0e	378953315900	released
54181658-ab96-411b-8b1e-3d7bb567de3c	86cbe7ae-858c-4614-ae81-f3374dbdce3c.wxs.MuTect2.aliquot.maf.gz	8eb95f8218432537290dc742c1d22b61	1865178	released
765e5cb5-022e-4c8d-8c81-c2293b15b33b	8ce26c31-4b69-4cf5-a89f-d30e22d64661.wxs.Pindel.aliquot.maf.gz	d38c32b6b07ef4b96bca54e557ef7d8d	49740	released
8d42d8b8-0a12-4669-84d6-cf801db5643b	042d1918-78a0-4655-a421-0c8b38538170.rna_seq.chimeric.gdc_realn.bam	74339f507982a10fbe6ca805db83a9a0	120703886	released
fedcfb82-5a3f-49e0-b28a-8764bcaaa6c5	TCGA_LUSC.6f9fe8b2-976e-4de3-a0f4-f380215148fd.wgs.VarScan2.somatic_annotation.vcf.gz	5566fa9c9bec1caed46b06b768c95fdf	9658638	released
5f0265d2-e196-4612-b7b5-d6815f995b2b	5f8f3490-09d2-4012-b3e2-94de81c7e0e3_wxs_gdc_realn.bam	1a3a7ddcb7a97f8be4f16c9cd51bd8c6	15007757574	released
