fold,accuracy,precision,recall,f1_score,auc_roc,auprc,true_positive,true_negative,false_positive,false_negative
1,0.8591549295774648,0.9402985074626866,0.7974683544303798,0.8630136986301371,0.9268635724331927,0.9547095253359574,63.0,59.0,4.0,16.0
2,0.9436619718309859,0.9382716049382716,0.9620253164556962,0.95,0.9879445449065702,0.9890375069815172,76.0,58.0,5.0,3.0
3,0.8943661971830986,0.9,0.9113924050632911,0.9056603773584907,0.9572031344183243,0.9698751872637411,72.0,55.0,8.0,7.0
4,0.9154929577464789,0.935064935064935,0.9113924050632911,0.923076923076923,0.9622262407072533,0.9749197314869553,72.0,58.0,5.0,7.0
5,0.9225352112676056,0.9722222222222222,0.8860759493670886,0.9271523178807947,0.9636327104681536,0.9784617586469883,70.0,61.0,2.0,9.0
MEAN,0.9070422535211268,0.937171453937623,0.8936708860759494,0.9137806633892691,0.9595740405866987,0.9734007419430318,70.6,58.2,4.8,8.4
STD_DEV,0.03204031877768261,0.025620790204984523,0.06044220955095352,0.032481862972353774,0.02181735779677911,0.012591869938876378,4.77493455452533,2.16794833886788,2.16794833886788,4.77493455452533
